address;flats;entrances;floors
улица Хользунова, 102-в;256;3;16
улица Хользунова, 100;140;4;9
улица Хользунова, 96;374;11;9
улица Хользунова, 107;215;6;9
улица Хользунова, 110-в;67;1;12
улица Хользунова, 112-в;67;1;12
улица Хользунова, 12;274;6;1
улица Хользунова, 110;234;7;9
улица Хользунова, 100-в;205;1;12
улица Хользунова, 33;127;4;9
улица Хользунова, 38/4;253;4;42
улица Хользунова, 37;90;6;5
улица Хользунова, 108;128;1;16
улица Хользунова, 9;52;1;9
улица Хользунова, 64-а;119;1;17
улица Хользунова, 72-а;213;5;10
улица Хользунова, 15;198;6;9
улица Хользунова, 117;78;2;9
улица Хользунова, 40-в;260;7;10
улица Хользунова, 76;216;1;9
улица Хользунова, 38/1;164;4;9
улица Хользунова, 10-б;100;2;10
улица Хользунова, 113;81;1;12
улица Хользунова, 116;162;5;9
улица Хользунова, 19;90;6;5
улица Хользунова, 35;191;6;9
улица Хользунова, 119;82;1;12
улица Хользунова, 72-б;202;4;16
улица Хользунова, 25;53;1;9
улица Хользунова, 109;180;5;9
улица Хользунова, 114;215;6;9
улица Хользунова, 21-а;129;8;5
улица Хользунова, 84;141;4;9
улица Хользунова, 123;88;1;9
улица Хользунова, 31;215;6;9
улица Хользунова, 38;266;4;42
улица Хользунова, 98-в;65;1;12
улица Хользунова, 40-б;128;1;16
улица Хользунова, 40-г;160;3;10
улица Хользунова, 48;98;2;10
улица Багрицкого, 1;50;2;4
проспект Труда, 22;79;2;10
проспект Труда, 4-а;167;4;10
проспект Труда, 37;92;6;5
проспект Труда, 151;129;4;10
проспект Труда, 6/4;84;1;12
проспект Труда, 59;97;10;4
проспект Труда, 25;109;1;3
проспект Труда, 23;78;4;5
проспект Труда, 8-а;124;2;9
проспект Труда, 21;78;4;5
проспект Труда, 27;98;5;5
проспект Труда, 42;49;5;4
проспект Труда, 40;32;2;5
проспект Труда, 6/3;84;1;12
проспект Труда, 72;589;8;17
проспект Труда, 35;97;6;5
проспект Труда, 155;100;1;10
проспект Труда, 68;379;2;25
проспект Труда, 157;90;1;15
проспект Труда, 109;72;1;4
проспект Труда, 6;161;2;12
проспект Труда, 8-б;155;5;9
проспект Труда, 3;104;3;9
проспект Труда, 31;56;4;5
проспект Труда, 12;44;3;4
проспект Труда, 6/5;84;1;12
проспект Труда, 24;119;3;10
проспект Труда, 1;119;8;5
проспект Труда, 33;56;4;5
проспект Труда, 10;70;4;5
проспект Труда, 8-в;49;2;9
проспект Труда, 8;124;2;9
проспект Труда, 61;73;4;5
проспект Труда, 29;69;4;5
проспект Труда, 4;182;9;5
проспект Труда, 32;32;2;4
проспект Труда, 159;54;2;5
улица Загородная, 7-а;207;4;1
улица Загородная, 47;80;5;4
улица Загородная, 15;100;1;10
улица Челюскинцев, 101-б;554;5;20
улица Челюскинцев, 101-в;530;6;18
улица Челюскинцев, 84-а;71;1;9
улица Челюскинцев, 82;40;2;5
улица Челюскинцев, 84;356;2;9
улица Челюскинцев, 80;32;2;4
улица Челюскинцев, 149;60;4;5
улица Челюскинцев, 101-а;202;3;17
улица Челюскинцев, 136;173;8;5
улица Челюскинцев, 69;85;2;10
Московский проспект, 132;570;6;22
Московский проспект, 179/2;151;1;17
Московский проспект, 13/1;150;1;17
Московский проспект, 112;691;23;?
Московский проспект, 145-а;212;5;2
Московский проспект, 179/4;151;1;17
Московский проспект, 114;734;23;4
Московский проспект, 104;358;5;9
Московский проспект, 98;439;11;10
Московский проспект, 104-б;128;2;17
Московский проспект, 93/2;112;1;16
Московский проспект, 104-в;392;5;1
Московский проспект, 110-е;77;1;17
Московский проспект, 126;683;5;45
Московский проспект, 94;320;8;10
Московский проспект, 123;94;3;9
Московский проспект, 110-б;77;1;17
Московский проспект, 95;232;7;9
Московский проспект, 90 корпус 1;1163;8;17
Московский проспект, 93;128;1;16
Московский проспект, 120;707;5;45
Московский проспект, 113;50;1;10
Московский проспект, 125;320;6;9
Московский проспект, 15;120;1;4
Московский проспект, 90-а;140;6;45
Московский проспект, 122;683;5;45
Московский проспект, 101;170;5;9
Московский проспект, 109;294;6;9
Московский проспект, 110-а;196;5;5
Московский проспект, 117-б;114;2;12
Московский проспект, 97-а корп 1;183;4;42
Московский проспект, 179/3;151;1;19
Московский проспект, 142/1;296;5;14
Московский проспект, 105;187;5;45
Московский проспект, 44-а;127;4;10
Московский проспект, 48-а;328;4;43
Московский проспект, 7;130;7;5
Московский проспект, 110-д;160;1;17
Московский проспект, 99;143;4;9
Московский проспект, 91;207;6;9
Московский проспект, 109/1;80;2;9
Московский проспект, 142-у;296;4;2
Московский проспект, 130 корп. 1;557;4;14
Московский проспект, 131-в;88;2;1
Московский проспект, 20;136;10;5
Московский проспект, 30;43;1;9
Московский проспект, 129-а;270;1;9
Московский проспект, 131-а;158;4;10
Московский проспект, 127;252;7;9
Московский проспект, 124;683;5;45
Московский проспект, 13/2;469;6;17
Московский проспект, 82;267;4;13
Московский проспект, 175;376;9;10
Московский проспект, 92;280;7;10
Московский проспект, 128;683;5;45
Московский проспект, 3;89;6;5
Московский проспект, 111;134;4;9
Московский проспект, 104-а;128;2;17
Московский проспект, 110-г;78;1;17
Московский проспект, 179-а;84;1;9
Московский проспект, 52;97;1;19
Московский проспект, 10;123;12;4
Московский проспект, 179/7;151;1;19
Московский проспект, 131-б;88;2;1=
Московский проспект, 19;282;2;17
Московский проспект, 24;124;8;5
Московский проспект, 179/6 ;152;1;17
Московский проспект, 110-и;77;1;17
Московский проспект, 102;440;11;10
Московский проспект, 100;357;9;10
Московский проспект, 78;36;3;3
Московский проспект, 117-а;140;2;13
Московский проспект, 97-а;193;3;15
Московский проспект, 56;65;4;5
Московский проспект, 142/2;336;4;12
Московский проспект, 179/8;151;1;17
Московский проспект, 179/5;147;1;27
Московский проспект, 110-в;78;1;17
Московский проспект, 119;151;4;10
Московский проспект, 92-а;76;2;10
Московский проспект, 48-б;160;2;2
Московский проспект, 109-а;70;1;15
Московский проспект, 58;53;4;5
Московский проспект, 117-в;74;2;10
Московский проспект, 8;116;9;5
Московский проспект, 5;128;8;5
улица Любы Шевцовой, 27;238;6;10
улица Любы Шевцовой, 17-а;183;1;9
улица Любы Шевцовой, 17;260;1;9
улица Любы Шевцовой, 13;100;5;5
улица Любы Шевцовой, 3;93;5;5
улица Любы Шевцовой, 21;256;1;9
улица Любы Шевцовой, 9;130;8;5
улица Любы Шевцовой, 1;83;1;12
улица Любы Шевцовой, 11;70;4;5
улица Любы Шевцовой, 29;276;7;10
улица Любы Шевцовой, 25;197;5;10
улица Средне-Московская, 67;152;4;9
улица Средне-Московская, 6-а;141;4;1
улица Средне-Московская, 69;150;4;9
улица Средне-Московская, 7;289;9;9
улица Средне-Московская, 62-а;288;1;19
улица Средне-Московская, 45;120;6;5
улица Средне-Московская, 15/17;60;1;4
улица Средне-Московская, 9;107;3;9
улица Средне-Московская, 70-а;32;1;9
улица Средне-Московская, 70;39;1;10
улица Средне-Московская, 1;79;1;12
улица Средне-Московская, 3;82;1;12
улица Средне-Московская, 27;82;1;12
улица Средне-Московская, 75;97;5;1=
улица Средне-Московская, 73;56;4;5
улица Миронова, 45;189;3;10
улица Миронова, 43;250;4;10
улица Миронова, 47;460;6;16
улица Миронова, 39;238;6;10
улица Миронова, 45-а;96;1;16
улица Фридриха Энгельса, 34;97;2;9
улица Фридриха Энгельса, 50;55;3;5
улица Фридриха Энгельса, 5-а;236;5;-1
улица Фридриха Энгельса, 33-е;44;1;13
улица Фридриха Энгельса, 65;56;4;5
улица Фридриха Энгельса, 24-а;69;1;12
улица Фридриха Энгельса, 20;32;3;4
улица Фридриха Энгельса, 14;74;4;5
улица Фридриха Энгельса, 39;73;4;5
улица Фридриха Энгельса, 16;71;3;6
улица Фридриха Энгельса, 7-а;62;2;11
улица Фридриха Энгельса, 25-б;46;2;11
улица Фридриха Энгельса, 70;74;5;5
улица Фридриха Энгельса, 63;90;3;10
улица Фридриха Энгельса, 42;41;3;4
улица Фридриха Энгельса, 74;36;3;45
улица Фридриха Энгельса, 33-в;32;1;12
улица Фридриха Энгельса, 32-а;56;4;5
улица Фридриха Энгельса, 24;68;4;5
улица Фридриха Энгельса, 43;35;2;5
улица Фридриха Энгельса, 12;50;6;5
проспект Патриотов, 38-а;157;4;10
проспект Патриотов, 31/2;204;4;п
проспект Патриотов, 40;90;6;5
проспект Патриотов, 1-д;150;4;15
проспект Патриотов, 7-б;160;1;9
проспект Патриотов, 32;129;8;5
проспект Патриотов, 31/1;204;4;43
проспект Патриотов, 30;128;4;9
проспект Патриотов, 50-в;200;5;10
проспект Патриотов, 50-а;160;4;10
проспект Патриотов, 22;120;3;10
проспект Патриотов, 12;80;4;5
проспект Патриотов, 31;204;4;10
проспект Патриотов, 50-б;400;10;10
проспект Патриотов, 34;129;8;5
проспект Патриотов, 16;80;4;5
проспект Патриотов, 14;144;4;9
проспект Патриотов, 36;129;8;5
проспект Патриотов, 2-а;68;1;12
проспект Патриотов, 8;136;4;9
проспект Патриотов, 28;56;4;5
проспект Патриотов, 1-е;300;4;18
проспект Патриотов, 50;120;3;10
проспект Патриотов, 4-а;112;5;1
проспект Патриотов, 6;80;4;5
проспект Патриотов, 8-а;136;3;9
проспект Патриотов, 26;56;4;5
улица МОПРа, 2-а;188;6;1
улица МОПРа, 8-б;190;6;п
улица МОПРа, 18-б;99;3;1=
улица МОПРа, 15;250;7;9
улица МОПРа, 19/1;218;3;17
улица МОПРа, 12-а;122;4;-1
улица МОПРа, 15/1;141;4;9
улица Советская, 53-а;90;2;10
улица Советская, 53;179;4;10
улица Советская, 53-б;129;3;10
улица Минская, 63-а;438;5;9
улица Минская, 45;146;2;5
улица Минская, 75-а;119;3;10
улица Минская, 43/3;130;2;13
улица Минская, 19/1;139;3;5
улица Минская, 67/1;269;3;9
улица Минская, 55;118;3;10
улица Минская, 63;359;9;10
улица Минская, 79;85;1;9
улица Минская, 69-в;319;3;16
улица Минская, 49;160;4;10
улица Минская, 51;120;3;10
улица Минская, 69/1;423;5;9
улица Минская, 31;119;8;5
улица Минская, 69/2;359;4;10
улица Минская, 67;320;8;10
улица Минская, 67-а;319;4;16
улица Минская, 27;54;1;9
улица Минская, 25;119;8;5
улица Минская, 53;120;3;10
улица Минская, 19/2;159;3;5
улица Минская, 59;79;2;10
улица Минская, 2-в;162;3;9
улица Минская, 67-б;140;2;10
улица Минская, 71-а;158;4;10
улица Минская, 11;37;2;5
улица Минская, 3;47;3;4
улица Минская, 7;31;2;4
улица Минская, 61;156;3;1
улица Минская, 57;81;2;10
улица Минская, 69-д;102;1;17
улица Минская, 1;75;2;9
улица Минская, 73;119;3;10
улица Минская, 69-а;160;2;10
улица Минская, 67-в;140;2;10
улица Минская, 81;87;1;9
улица Минская, 17/2;158;3;5
улица Минская, 71;119;3;10
улица Минская, 65;156;3;14
улица Минская, 7-а;32;2;4
улица Минская, 75;119;3;10
улица Минская, 77;87;1;9
улица Минская, 69;160;2;10
улица Минская, 35;104;8;5
улица Минская, 25-а;57;1;10
улица Минская, 83;87;1;9
улица Минская, 69-б;168;3;14
улица Минская, 29;119;8;5
улица Пирогова, 41;119;3;10
улица Пирогова, 35;119;3;10
улица Пирогова, 36;115;3;10
улица Пирогова, 37;50;1;10
улица Пирогова, 39;75;2;10
улица Пирогова, 72-а;182;2;13
улица Путиловская, 11;143;4;9
улица Путиловская, 13-а;73;6;5
улица Путиловская, 3;259;6;10
улица Путиловская, 13;74;6;5
улица Путиловская, 17;129;8;5
улица Путиловская, 9;224;6;9
улица Путиловская, 5;143;4;9
улица Путиловская, 7;143;4;9
улица Путиловская, 1;143;4;9
улица Путиловская, 2-а;113;3;10
улица Путиловская, 9-а;200;5;10
улица Путиловская, 2/1;257;2;17
улица Путиловская, 15-а;118;2;5
улица Путиловская, 5-а;120;8;5
улица Революции 1905 года, 80-г;234;4;?
улица Революции 1905 года, 31-а;441;6;16
улица Революции 1905 года, 42;180;5;9
улица Революции 1905 года, 23;78;6;5
улица Революции 1905 года, 80-в;208;3;43
улица Революции 1905 года, 31-г;157;1;17
улица Революции 1905 года, 66;600;10;10
улица Революции 1905 года, 5;52;1;12
улица Революции 1905 года, 51;70;4;5
улица Революции 1905 года, 31-в;210;3;19
улица Революции 1905 года, 80-б;242;4;1
улица Революции 1905 года, 31ю;236;4;43
улица Революции 1905 года, 35;48;3;5
улица Революции 1905 года, 31-д;164;1;16
улица Революции 1905 года, 25;100;6;5
улица Революции 1905 года, 80;48;3;4
улица Революции 1905 года, 31-е;180;1;25
улица Революции 1905 года, 7;70;4;5
улица Революции 1905 года, 40;81;1;12
улица Революции 1905 года, 49;70;4;5
улица Маршала Жукова, 5;135;4;9
улица Маршала Жукова, 5-а;178;5;9
улица Маршала Жукова, 20;80;1;16
улица Маршала Жукова, 26;80;2;10
улица Маршала Жукова, 16;87;1;16
улица Маршала Жукова, 4;342;10;9
улица Маршала Жукова, 7;128;1;16
улица Маршала Жукова, 9;170;5;9
улица Маршала Жукова, 3;267;8;9
улица Маршала Жукова, 18;80;2;10
улица Маршала Жукова, 6;135;4;9
улица Маршала Жукова, 22;80;2;9
улица Маршала Жукова, 24;87;1;16
улица Маршала Жукова, 12;180;5;9
улица Маршала Жукова, 8;135;4;9
улица Маршала Жукова, 10;108;3;9
улица Боровская, 1;125;10;5
переулок Ученический, 5;158;3;10
улица Морозова, 10;135;4;9
улица Морозова, 12;200;4;9
улица Краснозвездная, 36;215;6;9
улица Краснозвездная, 28;56;4;5
улица Краснозвездная, 24;60;4;5
улица Краснозвездная, 2;128;4;9
улица Краснозвездная, 38;89;6;5
улица Краснозвездная, 16;60;4;5
улица Краснозвездная, 12;60;4;5
улица Краснозвездная, 8;136;4;9
улица Краснозвездная, 10;203;6;9
улица Краснозвездная, 32;56;4;5
улица Краснозвездная, 6;136;4;9
улица Краснозвездная, 14;120;8;5
улица Краснозвездная, 4;66;2;9
улица Краснозвездная, 40;56;4;5
улица Краснозвездная, 26;80;1;12
улица Краснозвездная, 22;60;4;5
Спортивная набережная, 23;286;7;1
Спортивная набережная, 13;165;3;1=
Спортивная набережная, 19;144;4;9
Спортивная набережная, 4;248;6;1=
Спортивная набережная, 19-а;232;2;21
Спортивная набережная, 23-б;67;2;4
Спортивная набережная, 7;168;3;1
Спортивная набережная, 6;72;2;9
Спортивная набережная, 3;108;3;9
улица Димитрова, 74;102;3;9
улица Димитрова, 2;125;4;9
улица Димитрова, 56-а;47;1;9
улица Димитрова, 2-а;238;3;16
улица Димитрова, 79;205;6;9
улица Димитрова, 144;398;10;10
улица Димитрова, 142;323;9;10
улица Димитрова, 153;70;2;9
улица Димитрова, 132-а;107;3;9
улица Димитрова, 134;32;2;4
улица Димитрова, 135;48;3;4
улица Димитрова, 27;288;7;1
улица Димитрова, 155;215;6;9
улица Димитрова, 8;234;7;9
улица Димитрова, 72;119;3;9
улица Димитрова, 131;228;5;45
улица Димитрова, 136;97;8;5
улица Димитрова, 157;499;9;45
улица Димитрова, 4;225;7;9
улица Димитрова, 126;314;4;5
улица Димитрова, 6;232;7;9
улица Димитрова, 130;64;4;5
улица Димитрова, 136-а;71;2;9
улица Димитрова, 132;32;2;4
улица Димитрова, 137;54;1;9
улица Димитрова, 139/2;32;2;4
улица Димитрова, 102;77;1;12
улица Березовая Роща, 4-б;72;2;9
улица Березовая Роща, 8;118;6;5
улица Березовая Роща, 8-а;319;4;15
улица Березовая Роща, 36-а;147;1;9
улица Березовая Роща, 54/2;160;1;16
улица Березовая Роща, 18;78;4;5
улица Березовая Роща, 24/1;405;6;1
улица Березовая Роща, 60;80;4;5
улица Березовая Роща, 34;60;3;5
улица Березовая Роща, 62;80;4;5
улица Березовая Роща, 54/1;159;1;16
улица Березовая Роща, 27;150;3;5
улица Березовая Роща, 24;83;1;12
улица Березовая Роща, 24-а;83;1;12
улица Березовая Роща, 12;120;6;5
улица Березовая Роща, 30;148;3;5
улица Березовая Роща, 6;54;1;9
улица Березовая Роща, 40;116;6;5
улица Березовая Роща, 38-а;88;2;9
улица Березовая Роща, 44;120;6;5
улица Березовая Роща, 68;64;4;5
улица Березовая Роща, 16;80;4;5
улица Березовая Роща, 6-в;71;2;9
улица Березовая Роща, 6-б;72;2;9
улица Березовая Роща, 2-б;51;1;9
улица Березовая Роща, 50;118;3;5
улица Ворошилова, 2;143;10;45
улица Ворошилова, 42;120;2;5
улица Ворошилова, 1-в;184;1;25
улица Ворошилова, 6;122;8;5
улица Ворошилова, 30;80;4;5
улица Ворошилова, 32;80;4;5
улица Ворошилова, 55;79;2;10
улица Ворошилова, 7;89;5;5
улица Ворошилова, 49-а;77;2;10
улица Ворошилова, 44;99;6;5
улица Ворошилова, 49;120;3;10
улица Ворошилова, 12;33;2;5
улица Ворошилова, 1-г;185;1;25
улица Ворошилова, 1/6;180;3;
улица Ворошилова, 45-б;238;2;17
улица Ворошилова, 29;80;4;5
улица Ворошилова, 50;108;4;9
улица Ворошилова, 47;79;2;10
улица Ворошилова, 9;35;1;9
улица Ворошилова, 23;77;4;5
улица Ворошилова, 38-а;88;3;7
улица Ворошилова, 31-а;176;2;10
улица Ворошилова, 37;48;1;9
улица Ворошилова, 43;177;4;42
улица Ворошилова, 31;80;4;5
улица Ворошилова, 21;70;4;5
улица Ворошилова, 4;70;4;5
улица Молодогвардейцев, 21;97;6;5
улица Молодогвардейцев, 4;129;8;5
улица Молодогвардейцев, 10;170;1;5
улица Молодогвардейцев, 13;120;2;5
улица Молодогвардейцев, 20;60;4;5
улица Молодогвардейцев, 7;132;4;9
улица Молодогвардейцев, 22;120;8;5
улица Молодогвардейцев, 14;139;2;5
улица Молодогвардейцев, 19;60;4;5
улица Молодогвардейцев, 15;174;1;5
улица Молодогвардейцев, 8;80;6;5
улица Молодогвардейцев, 12;150;2;5
улица Молодогвардейцев, 11;175;2;5
улица Молодогвардейцев, 16;129;8;5
улица Генерала Перхоровича, 10;119;3;10
улица Генерала Перхоровича, 8;120;3;10
улица Генерала Перхоровича, 3;91;5;5
